guid,keys,vals,pairs,total
cpb-aacip-507-6t0gt5g28c.54240,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54300,0,0,0,0
cpb-aacip-507-736m03zh49.105000,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105030,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105060,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105090,1.0,0.0,1.0,0.0
cpb-aacip-507-736m03zh49.105135,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105165,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105195,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105225,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105255,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105300,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105330,0.0,1.0,0.0,0.0
cpb-aacip-507-736m03zh49.105375,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105420,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105465,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105495,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105540,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105630,1.0,0.5,0.9933333333333333,0.16555555555555554
cpb-aacip-507-736m03zh49.105660,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105720,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105765,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105825,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105885,1.0,0.0,1.0,0.0
cpb-aacip-507-736m03zh49.105960,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.106005,1.0,0.5,0.9966666666666667,0.16611111111111113
cpb-aacip-507-736m03zh49.106065,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.106170,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-736m03zh49.106275,0,0,0,0
cpb-aacip-507-7h1dj59628.102060,0,0,0,0
cpb-aacip-507-7h1dj59628.102510,0,0,0,0
cpb-aacip-507-7h1dj59628.102585,0,0,0,0
cpb-aacip-507-7h1dj59628.102660,0,0,0,0
cpb-aacip-507-7h1dj59628.102735,0,0,0,0
cpb-aacip-507-862b854459.100920,0,0,0,0
cpb-aacip-507-862b854459.100980,0,0,0,0
cpb-aacip-507-862b854459.101040,0,0,0,0
cpb-aacip-507-862b854459.101100,0,0,0,0
cpb-aacip-507-862b854459.101250,0,0,0,0
cpb-aacip-507-862b854459.101265,0,0,0,0
cpb-aacip-507-862b854459.101325,0,0,0,0
cpb-aacip-507-862b854459.101550,0,0,0,0
cpb-aacip-507-862b854459.101610,0,0,0,0
cpb-aacip-507-862b854459.101685,0,0,0,0
cpb-aacip-507-gm81j9807d.106530,0,0,0,0
cpb-aacip-507-gm81j9807d.106620,0,0,0,0
cpb-aacip-507-gm81j9807d.6435,0,0,0,0
cpb-aacip-507-ms3jw87c9c.103650,0,0,0,0
cpb-aacip-507-ms3jw87c9c.103680,0,0,0,0
cpb-aacip-507-ms3jw87c9c.103755,0,0,0,0
cpb-aacip-507-ms3jw87c9c.103815,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104310,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104355,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104400,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104445,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104520,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104700,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104730,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104805,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104895,0,0,0,0
cpb-aacip-507-rj48p5w80b.51030,0,0,0,0
cpb-aacip-507-rj48p5w80b.51270,0,0,0,0
cpb-aacip-507-tq5r786f7w.104130,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-tq5r786f7w.104340,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-tq5r786f7w.104415,0.0,1.0,1.0,0.0
cpb-aacip-507-tq5r786f7w.104790,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-tq5r786f7w.104850,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-507-tq5r786f7w.104895,0.0,0.0,0.0,0.0
cpb-aacip-526-1j9765bd42.50670,0,0,0,0
cpb-aacip-526-1j9765bd42.50700,0,0,0,0
cpb-aacip-526-1j9765bd42.50715,0,0,0,0
cpb-aacip-526-1j9765bd42.50745,0,0,0,0
cpb-aacip-526-1j9765bd42.50760,0,0,0,0
cpb-aacip-526-1j9765bd42.50775,0,0,0,0
cpb-aacip-526-1j9765bd42.50790,0,0,0,0
cpb-aacip-526-1j9765bd42.50805,0,0,0,0
cpb-aacip-526-1j9765bd42.50820,0,0,0,0
cpb-aacip-526-1j9765bd42.50835,0,0,0,0
cpb-aacip-526-1j9765bd42.50880,0,0,0,0
cpb-aacip-526-1j9765bd42.50895,0,0,0,0
cpb-aacip-526-1j9765bd42.50910,0,0,0,0
cpb-aacip-526-1j9765bd42.50925,0,0,0,0
cpb-aacip-526-1j9765bd42.50940,0,0,0,0
cpb-aacip-526-1j9765bd42.50955,0,0,0,0
cpb-aacip-526-1j9765bd42.50970,0,0,0,0
cpb-aacip-526-1j9765bd42.50985,0,0,0,0
cpb-aacip-526-1j9765bd42.51030,0,0,0,0
cpb-aacip-526-1j9765bd42.51045,0,0,0,0
cpb-aacip-526-1j9765bd42.51060,0,0,0,0
cpb-aacip-526-1j9765bd42.51075,0,0,0,0
cpb-aacip-526-1j9765bd42.51090,0,0,0,0
cpb-aacip-526-1j9765bd42.51105,0,0,0,0
cpb-aacip-526-1j9765bd42.51120,0,0,0,0
cpb-aacip-526-1j9765bd42.51135,0,0,0,0
cpb-aacip-526-1j9765bd42.51150,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.49260,0,0,0,0
cpb-aacip-526-6q1sf2n94w.95700,0,0,0,0
cpb-aacip-526-dj58c9s78v.104220,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-526-dj58c9s78v.104400,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-526-jh3cz33b2z.49770,0,0,0,0
cpb-aacip-526-jh3cz33b2z.49890,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50010,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50130,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50265,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50385,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50520,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50625,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50760,0,0,0,0
cpb-aacip-526-jh3cz33b2z.51120,0,0,0,0
cpb-aacip-526-r20rr1qt55.1440,1,1,1,1
cpb-aacip-526-sb3ws8js1h.33060,1,1,1,1
cpb-aacip-526-sb3ws8js1h.33135,1,1,1,1
cpb-aacip-526-sb3ws8js1h.50265,1.0,0.5,0.995,0.16583333333333333
cpb-aacip-526-sb3ws8js1h.50400,0.5,1.0,0.975,0.1625
cpb-aacip-526-sb3ws8js1h.50565,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-526-sb3ws8js1h.50685,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-526-sb3ws8js1h.50820,1,1,1,1
cpb-aacip-526-sb3ws8js1h.50985,1,1,1,1
cpb-aacip-81-902z3f9j.240,0,0,0,0
cpb-aacip-81-902z3f9j.51870,0,0,0,0
cpb-aacip-81-902z3f9j.52050,0,0,0,0
cpb-aacip-81-902z3f9j.52170,0,0,0,0
cpb-aacip-81-902z3f9j.52275,0,0,0,0
cpb-aacip-81-902z3f9j.52395,0,0,0,0
cpb-aacip-901dfeea4db.107625,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-901dfeea4db.107805,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-901dfeea4db.1605,0,0,0,0
cpb-aacip-901dfeea4db.1710,0,0,0,0
